Material Name,Product Category,Strength Rating,Weight Capacity (kg),Unit Cost ($),Biodegradability Score,CO2 Emission (kg),Recyclability (%),Fragility Level,Shipping Mode
plastic,food,51.0,8.5,,0.23,16.42,53.7,1.0,Ground
plastic,pharmaceuticals,49.0,9.2,0.37,0.1,6.41,32.9,2.0,Ground
paper,pharmaceuticals,34.0,5.6,0.2,0.93,1.11,93.3,2.0,Ground
metal,electronics,95.0,16.8,0.68,0.0,18.43,96.9,3.0,Air
bagasse,electronics,31.0,5.3,0.17,0.95,0.8,78.2,3.0,Air
bamboo,food,51.0,8.4,0.33,0.77,0.76,71.9,1.0,Ground
bamboo,home,46.0,7.4,0.27,0.77,0.91,79.7,1.0,Ground
glass,pharmaceuticals,70.0,12.6,0.59,0.0,14.13,,2.0,Ground
plastic,cosmetics,72.0,11.3,0.26,0.08,14.85,26.1,2.0,Ground
plastic,electronics,78.0,14.6,,0.17,15.27,50.5,3.0,Air
metal,cosmetics,80.0,13.4,0.54,0.0,24.71,93.2,2.0,Ground
metal,electronics,91.0,15.0,0.64,0.0,21.62,89.6,3.0,Air
bagasse,electronics,37.0,5.0,0.14,0.9,0.92,78.6,3.0,Air
glass,food,76.0,11.7,0.49,0.01,9.36,93.0,1.0,Ground
plastic,food,75.0,10.7,0.29,0.14,16.11,36.3,1.0,Ground
paper,pharmaceuticals,46.0,8.3,0.16,0.9,1.31,81.2,2.0,Ground
plastic,cosmetics,66.0,9.1,0.41,0.19,6.32,47.2,2.0,Ground
plastic,home,74.0,12.0,0.2,0.23,12.41,50.9,1.0,Ground
bagasse,food,45.0,6.9,0.19,0.99,0.68,84.0,1.0,Ground
plastic,home,75.0,10.4,0.28,0.06,13.87,35.7,1.0,Ground
jute,pharmaceuticals,48.0,8.3,0.19,0.85,1.63,77.6,2.0,Ground
bagasse,home,38.0,5.1,0.18,0.91,0.74,75.6,1.0,Ground
plastic,food,54.0,9.3,0.33,0.19,8.29,51.1,1.0,Ground
metal,food,75.0,13.5,0.58,0.0,23.1,95.1,1.0,Ground
plastic,food,60.0,11.7,0.4,0.16,7.65,41.1,1.0,Ground
paper,cosmetics,33.0,5.1,0.14,1.0,1.52,77.9,2.0,Ground
bamboo,home,63.0,10.7,0.35,0.85,1.07,81.2,1.0,Ground
bamboo,home,42.0,6.6,0.23,0.82,1.05,68.0,1.0,Ground
bagasse,cosmetics,42.0,6.5,0.24,0.96,0.91,82.0,2.0,Ground
bamboo,electronics,51.0,9.9,0.28,0.87,1.36,78.7,3.0,Air
paper,pharmaceuticals,37.0,6.1,0.23,0.86,1.62,81.3,2.0,Ground
plastic,cosmetics,72.0,12.1,,0.11,10.25,46.2,2.0,Ground
glass,home,81.0,15.4,0.3,0.02,17.43,91.1,1.0,Ground
glass,food,75.0,14.1,0.5,0.03,10.82,86.8,1.0,Ground
paper,food,38.0,5.7,0.15,0.95,1.41,84.8,1.0,Ground
jute,pharmaceuticals,48.0,,0.22,0.86,1.28,79.6,2.0,Ground
paper,pharmaceuticals,46.0,6.2,0.24,0.93,1.3,94.5,2.0,Ground
paper,food,41.0,5.9,0.21,0.93,1.64,87.7,1.0,Ground
glass,food,72.0,10.3,0.38,0.01,,86.5,1.0,Ground
metal,pharmaceuticals,87.0,14.1,0.59,0.0,22.5,91.9,2.0,Ground
paper,home,34.0,6.3,0.21,0.97,0.86,84.1,1.0,Ground
bamboo,pharmaceuticals,,6.9,0.25,0.84,1.17,81.2,2.0,Ground
paper,pharmaceuticals,54.0,7.6,0.14,0.97,1.37,94.8,2.0,Ground
plastic,electronics,61.0,10.5,0.33,0.23,8.79,40.3,3.0,Air
bamboo,electronics,59.0,11.2,0.24,0.81,1.16,82.0,3.0,Air
plastic,home,50.0,9.8,0.19,,10.41,30.0,1.0,Ground
bagasse,cosmetics,43.0,7.0,0.18,0.92,1.17,87.7,2.0,Ground
bagasse,cosmetics,43.0,7.5,0.13,0.95,1.1,81.3,2.0,Ground
plastic,pharmaceuticals,47.0,6.3,0.34,0.09,15.26,52.6,2.0,Ground
paper,food,53.0,7.6,0.24,0.97,1.18,80.3,1.0,Ground
paper,electronics,46.0,8.5,0.16,0.87,1.74,89.4,3.0,Air
bamboo,pharmaceuticals,47.0,6.8,0.26,0.85,1.0,76.5,2.0,Ground
bamboo,electronics,57.0,8.7,0.27,0.86,1.35,,3.0,Air
glass,electronics,67.0,9.5,0.44,0.01,21.85,93.1,3.0,Air
bamboo,pharmaceuticals,46.0,8.1,0.32,0.82,0.96,68.6,2.0,Ground
glass,home,77.0,10.5,0.34,0.01,16.48,88.0,1.0,Ground
glass,cosmetics,81.0,14.3,0.48,0.03,17.93,85.2,2.0,Ground
paper,food,32.0,4.6,0.24,0.97,1.53,86.6,1.0,Ground
bagasse,electronics,30.0,4.5,0.13,0.97,1.04,88.2,3.0,Air
plastic,food,68.0,11.7,0.35,0.23,10.46,38.7,1.0,Ground
plastic,pharmaceuticals,49.0,8.3,0.27,0.06,17.28,50.9,2.0,Ground
bagasse,food,41.0,7.9,0.14,0.96,1.18,78.5,1.0,Ground
jute,electronics,56.0,8.7,0.26,0.99,1.25,60.1,3.0,Air
glass,pharmaceuticals,90.0,13.7,0.48,0.0,17.73,88.4,2.0,Ground
jute,pharmaceuticals,45.0,7.0,0.26,0.87,1.6,74.8,2.0,Ground
plastic,home,52.0,,0.39,0.2,13.49,37.4,1.0,Ground
paper,pharmaceuticals,40.0,5.4,0.23,0.92,1.69,75.6,2.0,Ground
plastic,pharmaceuticals,48.0,7.9,0.33,0.18,8.31,25.6,2.0,Ground
bamboo,electronics,46.0,6.9,0.26,0.8,0.96,,3.0,Air
plastic,cosmetics,67.0,10.8,0.39,0.24,17.26,47.6,2.0,Ground
plastic,electronics,65.0,10.6,0.19,0.22,10.75,41.8,3.0,Air
paper,cosmetics,54.0,8.4,0.21,0.86,1.03,82.1,2.0,Ground
glass,cosmetics,91.0,16.3,0.34,0.03,19.85,88.4,2.0,Ground
paper,pharmaceuticals,38.0,6.0,0.15,0.94,0.85,81.8,2.0,Ground
plastic,cosmetics,47.0,7.5,0.34,0.07,11.21,47.9,2.0,Ground
glass,electronics,75.0,10.0,0.32,0.02,14.89,92.4,3.0,Air
glass,cosmetics,68.0,9.2,0.41,0.02,17.54,92.6,2.0,Ground
jute,home,46.0,7.0,0.27,0.96,1.46,73.7,1.0,Ground
plastic,food,62.0,9.3,0.32,0.16,6.12,26.8,1.0,Ground
plastic,pharmaceuticals,70.0,9.9,0.3,0.16,7.21,32.4,2.0,Ground
jute,electronics,45.0,6.7,0.27,0.92,0.91,65.1,3.0,Air
bamboo,cosmetics,60.0,8.7,,0.77,1.11,66.9,2.0,Ground
plastic,food,59.0,,0.29,0.17,17.2,30.2,1.0,Ground
bagasse,home,32.0,4.7,0.27,0.99,0.79,84.2,1.0,Ground
paper,food,53.0,9.2,0.17,0.94,0.87,86.0,1.0,Ground
glass,electronics,85.0,16.9,0.43,0.01,15.69,91.8,3.0,Air
jute,home,49.0,6.7,0.22,0.99,1.64,73.4,1.0,Ground
plastic,pharmaceuticals,49.0,8.1,,0.23,15.46,54.0,2.0,Ground
bagasse,pharmaceuticals,31.0,6.0,0.22,0.94,1.15,86.3,2.0,Ground
bagasse,home,48.0,6.8,,0.96,0.8,87.6,1.0,Ground
plastic,electronics,46.0,9.1,0.19,0.12,17.58,46.3,3.0,Air
plastic,food,64.0,11.7,0.19,0.07,11.23,45.9,1.0,Ground
bamboo,home,57.0,,0.22,0.88,0.85,82.9,1.0,Ground
metal,home,88.0,14.4,0.59,0.0,24.23,,1.0,Ground
paper,cosmetics,42.0,6.2,0.15,1.0,1.48,79.8,2.0,Ground
jute,electronics,37.0,4.9,0.29,0.89,1.28,69.9,3.0,Air
metal,cosmetics,80.0,10.7,0.73,0.0,17.42,97.4,2.0,Ground
bagasse,cosmetics,30.0,5.9,0.19,0.94,0.89,82.6,2.0,Ground
plastic,cosmetics,54.0,8.4,0.3,0.14,10.72,42.4,2.0,Ground
glass,cosmetics,78.0,10.6,0.41,0.02,14.45,87.0,2.0,Ground
paper,food,36.0,5.4,0.15,0.89,1.4,83.7,1.0,Ground
glass,home,,12.0,0.32,0.0,14.04,86.5,1.0,Ground
plastic,electronics,67.0,9.6,0.33,0.15,12.02,46.3,3.0,Air
paper,home,,5.7,0.13,0.9,1.01,91.8,1.0,Ground
metal,home,85.0,14.0,0.71,0.0,23.92,92.8,1.0,Ground
paper,food,52.0,7.0,0.23,0.86,1.33,77.6,1.0,Ground
metal,cosmetics,96.0,13.2,0.58,0.0,21.41,96.7,2.0,Ground
plastic,home,78.0,13.1,0.31,0.22,11.1,39.3,1.0,Ground
glass,pharmaceuticals,67.0,12.7,0.59,0.02,17.97,90.4,2.0,Ground
paper,cosmetics,44.0,6.4,0.15,0.91,1.22,83.5,2.0,Ground
glass,pharmaceuticals,70.0,10.3,0.37,0.0,15.99,,2.0,Ground
plastic,home,76.0,12.5,0.27,0.13,10.84,26.6,1.0,Ground
paper,pharmaceuticals,40.0,6.7,0.2,0.9,1.78,83.5,2.0,Ground
plastic,home,53.0,7.2,0.44,0.13,16.69,30.2,1.0,Ground
bamboo,food,61.0,9.3,0.31,0.86,0.95,68.2,1.0,Ground
jute,electronics,52.0,7.7,0.18,0.97,1.41,71.5,3.0,Air
jute,home,45.0,7.4,0.29,0.97,1.62,64.7,1.0,Ground
glass,pharmaceuticals,76.0,12.5,0.42,0.02,12.47,86.8,2.0,Ground
paper,pharmaceuticals,38.0,5.9,0.24,0.88,1.09,83.1,2.0,Ground
bamboo,electronics,56.0,8.8,0.24,0.88,1.0,65.2,3.0,Air
jute,cosmetics,58.0,8.6,0.22,1.0,1.35,73.5,2.0,Ground
plastic,pharmaceuticals,64.0,9.6,0.41,0.06,12.01,45.2,2.0,Ground
metal,electronics,99.0,17.6,0.71,0.0,17.77,91.2,3.0,Air
plastic,pharmaceuticals,76.0,11.1,0.4,0.11,,31.2,2.0,Ground
bamboo,cosmetics,41.0,7.0,0.27,0.89,1.08,82.2,2.0,Ground
bamboo,electronics,50.0,6.8,0.29,0.76,1.16,68.7,3.0,Air
metal,home,76.0,11.5,0.53,0.0,13.43,94.8,1.0,
paper,electronics,46.0,6.9,0.17,0.87,1.32,94.2,3.0,
plastic,electronics,57.0,10.1,0.23,,16.03,38.0,3.0,Air
jute,food,51.0,7.1,0.17,0.96,1.39,76.8,1.0,Ground
plastic,food,63.0,9.2,0.41,0.13,10.11,41.4,1.0,Ground
plastic,electronics,70.0,9.6,0.2,0.05,12.58,49.5,3.0,Air
paper,home,44.0,7.0,0.16,0.91,1.53,75.7,1.0,Ground
paper,pharmaceuticals,36.0,5.1,0.17,0.92,1.18,94.6,2.0,Ground
paper,pharmaceuticals,37.0,7.3,0.12,0.97,1.0,89.7,2.0,Ground
bagasse,electronics,30.0,4.2,0.2,0.94,0.73,87.9,3.0,Air
bagasse,food,35.0,5.6,0.26,0.94,0.72,83.7,1.0,Ground
bagasse,home,38.0,7.0,0.14,0.96,0.99,88.5,1.0,Ground
jute,pharmaceuticals,41.0,7.8,0.29,0.87,1.22,70.0,2.0,Ground
paper,home,37.0,5.5,0.23,0.95,1.19,90.2,1.0,Ground
jute,electronics,50.0,8.2,0.19,0.92,1.04,69.5,3.0,Air
plastic,pharmaceuticals,49.0,9.5,0.21,,12.15,41.7,2.0,Ground
bagasse,cosmetics,32.0,4.9,0.27,0.9,0.91,80.2,2.0,Ground
bagasse,food,49.0,6.6,0.21,0.9,0.99,86.8,1.0,Ground
paper,electronics,39.0,6.5,0.15,0.93,1.45,86.6,3.0,Air
bagasse,pharmaceuticals,42.0,6.9,0.15,0.98,1.01,80.6,2.0,Ground
bamboo,home,58.0,9.9,0.27,0.8,0.95,82.3,1.0,Ground
plastic,electronics,67.0,12.5,0.35,0.2,16.12,35.8,3.0,Air
plastic,pharmaceuticals,69.0,13.2,0.36,0.12,12.67,49.0,2.0,Ground
metal,cosmetics,86.0,16.0,0.39,0.0,13.61,88.0,2.0,Ground
paper,cosmetics,43.0,8.0,0.25,0.92,1.17,90.4,2.0,Ground
plastic,cosmetics,64.0,11.5,0.3,0.07,17.18,44.7,2.0,Ground
glass,cosmetics,82.0,15.3,0.37,0.0,13.27,92.8,2.0,Ground
jute,home,58.0,10.2,0.25,0.98,1.22,74.6,1.0,Ground
paper,electronics,51.0,7.7,0.24,0.91,1.05,83.6,3.0,Air
plastic,home,72.0,10.1,0.38,0.17,17.87,37.3,1.0,Ground
bagasse,electronics,48.0,6.9,0.2,0.96,0.69,88.4,3.0,Air
plastic,electronics,56.0,9.9,0.42,0.16,9.48,39.7,3.0,Air
metal,food,94.0,12.6,0.49,0.0,16.14,88.4,1.0,Ground
bamboo,pharmaceuticals,43.0,7.1,0.24,0.75,1.25,75.7,2.0,Ground
paper,food,46.0,8.7,0.22,1.0,1.25,,1.0,Ground
bamboo,food,48.0,9.3,0.34,0.88,1.31,82.7,1.0,Ground
paper,cosmetics,37.0,5.4,0.24,0.95,1.22,95.0,2.0,Ground
jute,electronics,48.0,,0.18,0.89,1.52,77.6,3.0,Air
jute,home,58.0,11.2,0.18,,1.63,62.9,1.0,Ground
plastic,pharmaceuticals,71.0,12.6,0.32,0.14,6.14,40.3,2.0,Ground
paper,food,46.0,9.2,0.18,0.92,0.99,92.7,1.0,Ground
bagasse,home,32.0,5.0,0.25,0.95,0.78,88.1,1.0,Ground
jute,home,42.0,7.0,0.27,0.91,,79.6,1.0,Ground
jute,home,54.0,9.6,0.3,0.96,1.48,61.8,1.0,Ground
plastic,food,71.0,12.7,0.45,0.14,15.18,,1.0,Ground
plastic,food,73.0,10.7,0.41,0.16,15.34,31.9,1.0,Ground
bagasse,cosmetics,37.0,6.0,0.21,0.93,0.64,86.2,2.0,Ground
glass,pharmaceuticals,87.0,16.2,0.49,0.0,18.59,86.3,2.0,Ground
paper,pharmaceuticals,43.0,8.1,0.14,0.93,1.29,85.2,2.0,Ground
metal,home,83.0,12.1,0.69,0.0,22.54,92.4,1.0,Ground
paper,electronics,45.0,7.7,0.14,0.87,1.39,82.2,3.0,Air
jute,electronics,54.0,10.4,0.26,0.95,1.14,75.5,3.0,Air
glass,cosmetics,79.0,13.2,0.45,,9.06,86.4,2.0,Ground
jute,pharmaceuticals,46.0,6.7,0.27,0.86,1.54,72.6,2.0,Ground
bagasse,pharmaceuticals,40.0,6.8,0.14,0.96,1.07,78.3,2.0,Ground
glass,cosmetics,80.0,11.4,0.42,0.0,11.78,85.6,2.0,Ground
plastic,home,52.0,8.7,0.25,0.11,10.1,26.8,1.0,Ground
jute,pharmaceuticals,57.0,9.1,0.25,0.94,1.04,72.8,2.0,Ground
jute,home,53.0,7.9,0.25,0.96,1.48,67.3,1.0,Ground
plastic,home,72.0,9.7,0.4,0.18,10.11,51.8,1.0,Ground
jute,electronics,44.0,6.4,0.15,0.87,1.09,70.4,3.0,
plastic,pharmaceuticals,73.0,,0.4,0.14,,53.9,2.0,Ground
paper,cosmetics,38.0,7.5,0.25,0.99,0.97,90.2,2.0,Ground
paper,electronics,31.0,5.3,0.15,0.91,1.67,79.2,3.0,Air
paper,home,54.0,8.6,0.18,0.99,1.12,77.8,1.0,Ground
jute,home,43.0,6.8,0.28,1.0,1.05,78.9,1.0,Ground
paper,home,33.0,5.7,0.2,0.86,1.72,76.3,1.0,Ground
glass,cosmetics,66.0,11.5,0.38,0.0,13.7,94.2,2.0,Ground
bamboo,home,62.0,11.8,0.31,0.81,0.83,65.6,1.0,Ground
bamboo,home,53.0,9.8,0.26,0.87,0.87,67.4,1.0,Ground
glass,electronics,76.0,11.4,0.45,0.01,9.73,88.5,3.0,Air
paper,cosmetics,40.0,6.3,0.18,1.0,1.32,90.6,2.0,Ground
bagasse,pharmaceuticals,37.0,5.0,0.19,0.97,1.13,81.3,2.0,Ground
jute,food,37.0,5.3,0.2,0.93,0.98,64.7,1.0,Ground
bamboo,pharmaceuticals,56.0,8.9,0.29,0.75,1.28,79.5,2.0,Ground
bamboo,pharmaceuticals,52.0,8.0,0.35,0.83,1.22,71.7,2.0,Ground
plastic,home,77.0,13.1,0.19,0.06,14.96,28.4,1.0,Ground
plastic,food,54.0,10.7,0.3,0.12,9.28,35.9,1.0,Ground
plastic,home,66.0,11.0,0.44,0.09,6.57,32.5,1.0,Ground
metal,home,93.0,15.4,0.65,0.0,19.73,96.7,1.0,Ground
bamboo,food,51.0,9.5,0.28,0.76,0.97,69.3,1.0,Ground
metal,food,82.0,14.6,0.73,0.0,12.47,98.0,1.0,Ground
jute,pharmaceuticals,42.0,8.4,0.25,0.85,1.69,,2.0,Ground
bagasse,food,,6.1,0.27,0.97,1.06,86.6,1.0,Ground
bagasse,electronics,32.0,6.3,0.18,0.93,0.6,84.9,3.0,Air
bagasse,food,40.0,5.9,0.26,0.98,0.84,79.2,1.0,Ground
jute,food,59.0,9.3,0.27,0.99,1.62,75.8,1.0,Ground
glass,pharmaceuticals,76.0,12.5,0.43,0.0,,86.9,2.0,Ground
paper,home,47.0,7.8,0.15,0.95,1.61,75.0,1.0,Ground
paper,food,34.0,5.5,0.2,0.95,,78.7,1.0,Ground
plastic,electronics,59.0,8.9,0.37,0.05,11.23,46.2,3.0,Air
plastic,cosmetics,47.0,7.1,0.29,0.08,6.01,,2.0,Ground
bagasse,home,40.0,7.4,0.25,0.95,0.87,,1.0,Ground
plastic,cosmetics,60.0,10.0,0.27,0.21,7.1,26.5,2.0,Ground
jute,home,,9.9,0.23,1.0,1.25,61.3,1.0,Ground
paper,food,36.0,5.2,0.16,0.97,1.61,81.9,1.0,Ground
plastic,electronics,57.0,9.7,0.2,0.2,16.5,38.1,3.0,Air
bamboo,electronics,40.0,6.4,0.29,0.79,1.27,72.9,3.0,Air
paper,food,51.0,8.3,0.13,0.92,1.58,77.8,1.0,Ground
paper,home,39.0,6.8,0.15,1.0,1.3,77.5,1.0,Ground
bagasse,food,37.0,5.0,0.17,0.98,1.0,,1.0,Ground
plastic,home,59.0,11.0,0.4,,16.02,50.2,1.0,Ground
bagasse,electronics,42.0,7.8,0.23,0.91,0.95,88.6,3.0,Air
bamboo,food,63.0,10.8,0.33,0.88,1.12,71.1,1.0,Ground
plastic,pharmaceuticals,74.0,11.6,0.24,0.21,8.47,54.5,2.0,Ground
jute,electronics,35.0,5.7,0.29,0.98,1.03,70.9,3.0,Air
bamboo,home,50.0,9.6,0.33,0.88,1.22,78.4,1.0,Ground
paper,home,40.0,6.7,0.23,1.0,1.78,86.6,1.0,Ground
plastic,home,55.0,8.5,0.19,0.07,,49.2,1.0,Ground
plastic,pharmaceuticals,70.0,10.1,0.24,0.15,11.41,31.8,2.0,Ground
bagasse,cosmetics,49.0,7.0,0.28,0.94,0.85,86.7,2.0,Ground
bamboo,electronics,59.0,8.0,0.21,0.81,0.88,67.0,3.0,Air
bamboo,home,60.0,10.5,0.22,0.75,,72.0,1.0,Ground
jute,electronics,36.0,5.1,0.26,0.87,1.55,69.3,3.0,Air
glass,electronics,,10.9,0.55,0.01,10.09,86.2,3.0,Air
bamboo,food,60.0,8.0,0.22,0.79,0.93,72.3,1.0,Ground
metal,food,92.0,13.3,0.43,0.0,14.53,89.9,1.0,Ground
jute,cosmetics,44.0,6.2,0.25,0.87,1.59,78.4,2.0,Ground
bamboo,home,45.0,8.0,0.33,0.88,0.98,68.7,1.0,Ground
glass,food,83.0,13.7,0.48,0.02,16.28,92.6,1.0,Ground
bamboo,food,52.0,8.9,0.34,0.88,1.4,65.3,1.0,Ground
plastic,cosmetics,74.0,14.3,0.32,0.06,13.36,44.5,2.0,Ground
plastic,pharmaceuticals,61.0,8.5,0.37,0.16,17.64,43.4,2.0,Ground
glass,electronics,89.0,13.1,0.56,0.02,19.9,85.3,3.0,Air
paper,home,32.0,4.5,0.21,0.99,0.8,93.7,1.0,Ground
jute,electronics,54.0,8.5,0.18,0.97,1.35,79.9,3.0,Air
jute,food,59.0,8.8,0.26,0.86,1.27,77.8,1.0,Ground
jute,pharmaceuticals,35.0,6.7,0.23,0.99,1.49,79.4,2.0,Ground
paper,food,44.0,6.1,0.18,0.96,1.22,82.7,1.0,Ground
jute,cosmetics,52.0,8.7,0.22,0.95,1.44,,2.0,Ground
plastic,electronics,46.0,8.6,0.39,0.12,6.86,43.9,3.0,Air
paper,electronics,47.0,6.8,0.18,0.93,1.29,82.1,3.0,Air
glass,food,79.0,14.9,0.44,0.02,14.3,,1.0,Ground
plastic,pharmaceuticals,51.0,8.6,0.24,,13.38,29.4,2.0,Ground
plastic,pharmaceuticals,46.0,7.8,0.25,0.21,7.28,28.8,2.0,Ground
glass,cosmetics,66.0,11.7,0.54,0.01,18.87,93.7,2.0,Ground
jute,pharmaceuticals,,5.4,0.29,0.98,1.25,75.0,2.0,
paper,food,54.0,8.7,0.22,0.89,1.67,82.0,1.0,Ground
paper,electronics,31.0,4.8,0.2,0.87,0.9,93.6,3.0,Air
bamboo,pharmaceuticals,42.0,6.5,0.26,0.85,1.29,,2.0,Ground
plastic,home,58.0,10.1,0.21,0.21,7.76,43.0,1.0,Ground
glass,home,79.0,14.1,0.58,0.02,20.21,88.3,1.0,Ground
bagasse,pharmaceuticals,37.0,5.2,0.16,0.96,1.06,88.9,2.0,Ground
bamboo,home,58.0,10.2,0.22,0.83,0.87,79.1,1.0,
bamboo,cosmetics,62.0,10.0,0.34,0.89,,78.6,2.0,Ground
paper,pharmaceuticals,50.0,7.5,0.21,0.93,1.1,92.3,2.0,Ground
plastic,electronics,49.0,8.6,0.2,0.13,17.49,50.7,3.0,Air
metal,electronics,79.0,11.9,0.7,0.0,14.53,94.5,3.0,Air
bamboo,home,50.0,8.6,0.35,0.77,1.22,67.3,1.0,Ground
jute,home,44.0,8.0,0.19,0.98,1.49,68.8,1.0,Ground
glass,food,69.0,11.6,0.6,0.03,10.95,89.9,1.0,Ground
plastic,home,49.0,8.7,0.3,0.19,,31.2,1.0,Ground
jute,food,38.0,7.1,,1.0,1.59,62.9,1.0,Ground
paper,electronics,46.0,6.2,0.22,0.85,0.94,85.7,3.0,Air
jute,pharmaceuticals,51.0,7.5,0.28,0.97,1.51,77.0,2.0,Ground
paper,home,41.0,6.2,0.17,0.89,1.63,91.0,1.0,Ground
plastic,electronics,47.0,8.5,,0.13,7.42,50.4,3.0,Air
paper,food,51.0,8.0,0.23,0.9,1.58,81.6,1.0,Ground
bamboo,electronics,47.0,9.2,0.3,0.89,0.92,79.0,3.0,Air
plastic,pharmaceuticals,61.0,8.8,0.4,0.1,7.3,44.0,2.0,Ground
plastic,home,70.0,9.5,0.39,0.16,11.08,25.5,1.0,Ground
plastic,cosmetics,77.0,10.9,0.32,0.18,11.42,49.7,2.0,Ground
paper,food,38.0,5.4,0.18,0.85,0.89,78.7,1.0,Ground
paper,electronics,30.0,4.8,0.14,0.94,1.63,92.3,3.0,Air
glass,cosmetics,89.0,15.0,0.5,0.0,11.12,85.9,2.0,Ground
paper,electronics,47.0,6.7,0.19,0.95,0.95,85.6,3.0,Air
bamboo,home,56.0,10.7,0.34,0.84,0.96,84.0,1.0,Ground
plastic,cosmetics,77.0,12.2,0.41,0.12,10.75,30.4,2.0,Ground
metal,cosmetics,86.0,13.0,0.61,0.0,19.48,94.8,2.0,Ground
paper,food,30.0,4.7,0.17,0.86,1.41,94.6,1.0,Ground
bamboo,food,57.0,,0.22,0.82,0.95,,1.0,Ground
bagasse,home,45.0,7.7,,0.97,1.06,81.1,1.0,Ground
paper,pharmaceuticals,37.0,6.4,0.23,0.98,1.32,76.4,2.0,Ground
plastic,home,57.0,8.5,0.2,0.25,6.95,39.1,1.0,Ground
paper,electronics,44.0,6.2,0.18,0.98,1.08,90.6,3.0,Air
plastic,home,55.0,10.2,0.38,0.11,16.04,54.7,1.0,Ground
paper,food,54.0,8.8,0.15,0.92,1.46,92.6,1.0,Ground
plastic,food,60.0,9.7,0.36,0.12,17.42,46.5,1.0,Ground
bagasse,food,37.0,7.1,0.2,0.93,0.72,82.5,1.0,Ground
paper,electronics,41.0,7.6,0.19,0.94,1.66,91.6,3.0,Air
bagasse,pharmaceuticals,35.0,5.7,0.25,0.96,0.68,78.7,2.0,Ground
metal,electronics,78.0,10.9,0.62,0.0,24.01,94.5,3.0,Air
plastic,cosmetics,77.0,11.0,0.39,0.24,16.34,36.8,2.0,Ground
plastic,pharmaceuticals,64.0,9.1,0.34,0.22,,48.4,2.0,Ground
glass,food,85.0,14.5,0.5,0.03,10.96,93.0,1.0,Ground
bamboo,electronics,61.0,8.2,0.33,0.84,0.73,66.3,3.0,Air
bagasse,electronics,30.0,4.2,0.19,0.96,0.62,83.3,3.0,Air
paper,electronics,37.0,5.0,0.17,0.88,0.85,79.2,3.0,Air
paper,pharmaceuticals,53.0,7.7,0.21,0.89,1.27,92.6,2.0,Ground
bamboo,home,63.0,9.3,0.31,0.87,0.96,75.1,1.0,Ground
bamboo,pharmaceuticals,59.0,9.4,0.2,0.76,0.76,,2.0,Ground
plastic,food,77.0,13.3,0.42,0.21,9.65,52.5,1.0,Ground
paper,cosmetics,43.0,7.1,0.14,0.9,1.51,82.7,2.0,Ground
bagasse,cosmetics,32.0,6.1,0.26,0.97,1.11,,2.0,Ground
metal,electronics,84.0,14.0,0.37,0.0,23.61,88.6,3.0,Air
bamboo,electronics,53.0,7.8,0.26,0.78,1.28,83.6,3.0,Air
plastic,electronics,77.0,13.7,0.37,0.14,15.05,48.4,3.0,Air
jute,cosmetics,43.0,6.8,0.28,0.98,1.62,69.2,2.0,Ground
bagasse,home,49.0,6.6,0.2,0.95,0.69,88.3,1.0,Ground
paper,pharmaceuticals,54.0,8.3,0.13,0.98,1.09,85.4,2.0,Ground
jute,cosmetics,39.0,6.5,0.2,0.85,1.28,71.0,2.0,Ground
glass,pharmaceuticals,70.0,,0.39,0.02,17.76,93.6,2.0,Ground
plastic,pharmaceuticals,68.0,,0.44,0.19,16.87,51.2,2.0,Ground
plastic,pharmaceuticals,48.0,9.4,0.23,0.07,13.66,52.6,2.0,Ground
glass,pharmaceuticals,88.0,14.7,0.39,0.03,20.85,87.4,2.0,Ground
paper,food,50.0,8.3,0.14,1.0,1.12,77.4,1.0,Ground
metal,home,90.0,12.9,0.61,0.0,24.89,96.3,1.0,Ground
plastic,food,45.0,8.7,,0.05,6.95,43.7,1.0,Ground
glass,electronics,85.0,16.7,0.55,0.02,14.92,94.6,3.0,Air
plastic,home,48.0,9.5,0.36,,12.74,38.0,1.0,Ground
bamboo,cosmetics,62.0,9.1,0.21,0.76,0.79,72.7,2.0,Ground
bamboo,food,56.0,10.8,0.23,0.86,1.32,70.8,1.0,Ground
jute,pharmaceuticals,56.0,9.3,0.17,0.94,1.15,66.1,2.0,Ground
paper,electronics,49.0,7.9,0.14,,1.48,75.8,3.0,Air
bagasse,cosmetics,42.0,8.4,0.23,0.97,0.97,80.2,2.0,Ground
jute,home,49.0,8.7,0.15,0.89,1.07,77.6,1.0,Ground
glass,food,93.0,14.9,0.4,0.01,,90.3,1.0,Ground
metal,home,82.0,12.8,0.55,0.0,24.81,95.3,1.0,
glass,home,92.0,12.9,0.4,0.0,10.73,,1.0,Ground
plastic,electronics,54.0,8.9,0.39,0.21,17.78,53.7,3.0,Air
plastic,electronics,73.0,12.8,0.36,0.17,9.3,28.5,3.0,Air
glass,pharmaceuticals,84.0,12.7,0.37,0.02,11.17,93.2,2.0,Ground
jute,cosmetics,46.0,8.4,0.2,0.91,1.44,66.7,2.0,Ground
bamboo,home,40.0,6.6,0.22,0.75,1.11,85.0,1.0,Ground
glass,pharmaceuticals,77.0,12.7,0.37,,9.11,90.3,2.0,Ground
plastic,electronics,73.0,9.8,0.32,0.24,9.23,43.8,3.0,Air
