Material Name ,ProductCategory,Strength_Value,WtCapacity,Unit Cost($),Bio Score,CO2Emission,Recycle %,FragileLevel,Ship-Type
bagasse,food,93.0,13.0,0.47,0.19,19.87,66.6,3,Air
plastic,electronics,72.0,19.0,0.45,0.96,5.42,50.7,3,Air
bamboo,electronics,52.0,12.0,0.2,0.4,10.58,89.0,1,Ground
bamboo,pharmaceuticals,59.0,23.0,0.74,0.65,15.22,43.4,2,Ground
glass,cosmetics,47.0,20.0,,0.02,4.43,31.1,3,Ground
bamboo,cosmetics,50.0,10.0,0.8,0.13,5.66,91.6,1,Air
metal,electronics,86.0,10.0,0.39,0.78,7.43,40.7,3,Air
bagasse,home,52.0,7.0,0.53,0.97,12.98,27.0,1,
bagasse,food,74.0,14.0,0.17,0.32,13.01,9.8,,Air
paper,,73.0,5.0,0.42,0.04,20.45,79.3,2,
bagasse,home,76.0,18.0,0.27,0.36,18.95,82.5,1,Air
bagasse,electronics,69.0,8.0,0.68,0.02,22.89,3.3,2,Ground
glass,electronics,80.0,16.0,0.65,0.19,20.91,35.9,,Ground
bagasse,electronics,71.0,10.0,0.68,0.75,6.72,,3,Air
paper,pharmaceuticals,,15.0,0.61,0.94,,94.6,2,Ground
plastic,home,79.0,16.0,0.68,0.09,12.76,37.8,2,Ground
metal,cosmetics,,14.0,0.24,0.56,0.85,87.2,2,
glass,food,35.0,22.0,0.42,0.25,22.65,39.4,1,Air
plastic,pharmaceuticals,38.0,11.0,0.58,0.14,1.59,17.9,1,Air
glass,cosmetics,86.0,11.0,0.55,0.22,8.4,0.3,2,Air
jute,home,60.0,15.0,,0.58,14.44,33.0,2,Air
bamboo,electronics,50.0,8.0,0.26,0.07,13.19,37.8,1,Air
jute,home,69.0,24.0,0.17,0.43,16.53,94.5,3,Ground
bagasse,food,74.0,5.0,0.74,0.14,13.42,20.6,2,Air
,pharmaceuticals,78.0,17.0,0.49,0.27,,38.2,2,
bagasse,pharmaceuticals,49.0,22.0,0.21,0.19,5.43,2.5,1,Ground
bamboo,food,46.0,13.0,0.66,0.88,22.73,76.4,3,Ground
glass,cosmetics,57.0,13.0,0.74,0.71,6.97,91.5,3,Air
bamboo,cosmetics,70.0,13.0,0.22,0.87,7.38,23.8,,Air
paper,,95.0,14.0,0.67,0.38,10.62,42.9,,Ground
bamboo,pharmaceuticals,54.0,6.0,0.75,0.31,3.92,12.2,2,
paper,electronics,87.0,10.0,0.76,0.38,12.93,45.7,,Ground
bamboo,cosmetics,70.0,19.0,,0.02,16.79,13.3,,Ground
metal,food,35.0,,0.48,0.72,19.76,52.3,1,Ground
paper,cosmetics,67.0,15.0,0.35,0.35,17.93,73.5,3,Ground
plastic,electronics,35.0,10.0,0.11,0.31,4.12,55.3,1,Air
bagasse,pharmaceuticals,74.0,7.0,0.14,0.6,,24.5,1,Ground
bagasse,pharmaceuticals,43.0,15.0,0.4,0.44,,35.4,1,Air
jute,electronics,95.0,19.0,0.38,0.98,0.94,63.9,1,Ground
bagasse,food,69.0,17.0,0.23,0.36,11.28,,2,
glass,pharmaceuticals,32.0,24.0,0.38,0.61,,13.7,1,Air
metal,home,,14.0,,0.31,17.24,84.5,3,Air
bamboo,pharmaceuticals,48.0,10.0,0.69,0.99,18.24,47.5,2,
jute,home,47.0,19.0,0.31,0.45,22.44,16.2,2,Ground
glass,electronics,93.0,22.0,0.52,0.63,19.14,12.3,2,
glass,electronics,64.0,22.0,0.45,0.13,1.68,,3,Air
paper,pharmaceuticals,91.0,,0.14,0.73,9.6,28.2,2,Ground
bagasse,cosmetics,30.0,,0.76,0.27,,90.9,3,Air
plastic,home,54.0,22.0,0.47,0.45,9.96,41.1,3,Air
plastic,food,,22.0,0.33,0.88,4.42,38.6,3,Ground
jute,pharmaceuticals,78.0,24.0,0.21,0.97,2.89,70.1,2,
metal,food,45.0,13.0,0.34,0.42,13.26,1.0,3,Air
plastic,pharmaceuticals,48.0,,0.11,0.83,,33.8,2,
bamboo,cosmetics,52.0,12.0,0.35,0.05,17.7,30.3,1,Ground
plastic,cosmetics,54.0,24.0,,,11.55,86.8,1,
,cosmetics,45.0,6.0,,0.63,13.3,52.9,,Ground
,cosmetics,83.0,15.0,0.58,0.49,13.15,36.5,1,
bamboo,electronics,30.0,,0.18,0.89,17.44,,3,Ground
paper,electronics,71.0,10.0,,0.85,1.67,59.1,1,Air
metal,home,48.0,14.0,0.4,0.3,17.89,15.2,2,Air
jute,food,63.0,9.0,0.24,0.79,14.76,24.6,3,Air
paper,pharmaceuticals,84.0,15.0,0.12,0.1,5.35,29.4,1,Ground
paper,pharmaceuticals,47.0,5.0,0.66,0.82,1.7,60.8,3,Ground
paper,electronics,,,0.11,0.68,3.16,37.3,3,
glass,pharmaceuticals,74.0,5.0,0.68,0.09,13.35,50.6,2,Ground
,electronics,35.0,23.0,0.2,0.68,,65.0,2,Air
bagasse,home,50.0,6.0,0.78,0.58,8.7,95.6,1,Air
metal,food,99.0,24.0,0.52,0.59,9.79,76.5,2,Air
,home,77.0,8.0,0.61,0.29,23.39,40.5,1,Ground
bagasse,cosmetics,,16.0,0.18,0.27,5.72,74.8,2,Air
metal,cosmetics,60.0,24.0,0.7,0.76,3.04,95.0,,Air
,cosmetics,39.0,22.0,0.69,0.26,8.91,49.9,2,Air
jute,home,59.0,5.0,0.56,0.45,18.78,41.0,3,Air
bagasse,,,5.0,0.45,0.69,15.84,7.8,2,Air
bamboo,,89.0,18.0,0.61,0.08,10.69,89.2,1,Air
bamboo,,44.0,8.0,0.1,0.59,24.14,24.6,,
plastic,cosmetics,33.0,9.0,0.51,,18.51,6.4,3,Air
bagasse,cosmetics,92.0,15.0,0.69,0.68,2.02,53.7,1,Ground
jute,food,69.0,17.0,0.35,0.37,18.74,84.6,3,Air
glass,cosmetics,38.0,20.0,0.18,0.45,1.09,40.7,2,Ground
paper,food,38.0,17.0,0.39,0.33,16.43,,1,Ground
plastic,,55.0,6.0,0.61,0.81,5.66,83.6,2,Ground
bamboo,home,33.0,20.0,0.18,,17.56,45.4,2,Ground
glass,home,45.0,10.0,0.24,0.96,8.09,59.1,1,Ground
glass,food,44.0,18.0,0.2,0.63,21.89,53.4,3,
,home,81.0,5.0,0.66,0.89,,93.9,3,Ground
bagasse,food,98.0,21.0,0.14,0.43,15.68,72.6,3,Ground
bamboo,home,34.0,15.0,0.58,,7.51,92.5,3,Air
jute,home,49.0,23.0,0.36,0.9,22.97,22.0,,
glass,,47.0,7.0,0.63,0.1,19.63,31.0,,Ground
paper,,31.0,15.0,0.78,0.12,6.46,7.1,1,Air
jute,home,42.0,9.0,0.18,0.3,23.75,50.0,2,Ground
bagasse,cosmetics,33.0,21.0,0.32,0.96,9.25,87.4,1,Ground
bamboo,pharmaceuticals,71.0,11.0,0.67,,16.47,32.7,2,Ground
bagasse,food,,,0.29,0.55,18.7,12.8,,
glass,pharmaceuticals,37.0,15.0,0.25,0.71,1.06,6.8,1,Air
jute,electronics,96.0,7.0,0.68,0.42,23.99,44.8,3,Air
,electronics,92.0,24.0,0.79,0.76,8.94,16.4,3,Ground
jute,home,,14.0,0.49,0.39,5.15,34.6,1,Air
glass,home,40.0,14.0,0.29,0.83,21.34,82.0,,Air
glass,cosmetics,71.0,,0.38,0.27,17.72,38.4,2,Ground
bagasse,pharmaceuticals,42.0,16.0,0.22,0.28,2.63,61.0,1,Air
plastic,electronics,65.0,19.0,0.63,0.52,3.37,50.2,2,Air
bagasse,home,42.0,14.0,,,18.02,71.9,2,Air
bamboo,pharmaceuticals,41.0,14.0,0.71,0.65,2.33,15.6,2,Ground
paper,home,66.0,,0.12,,22.97,92.0,1,
jute,home,81.0,5.0,0.49,,18.67,64.4,2,Air
plastic,electronics,31.0,14.0,0.25,0.47,8.72,27.1,1,Ground
paper,electronics,85.0,6.0,0.34,0.56,9.39,12.3,3,Air
,home,89.0,21.0,0.65,0.14,12.91,15.0,2,
,food,52.0,11.0,0.23,0.56,9.34,78.3,3,
,home,69.0,11.0,0.55,0.32,19.69,,3,Ground
glass,home,93.0,24.0,0.56,0.39,,38.1,3,
jute,cosmetics,52.0,13.0,,0.28,14.82,33.3,2,Ground
bagasse,cosmetics,58.0,6.0,0.64,0.93,11.43,85.6,1,Air
paper,,80.0,18.0,0.66,,5.96,87.5,2,Air
metal,food,,21.0,0.47,,16.51,58.1,1,Ground
,food,60.0,5.0,0.23,0.65,17.3,52.5,,Air
,,79.0,13.0,,0.85,17.29,81.6,2,Ground
paper,cosmetics,49.0,24.0,0.48,0.4,1.16,74.9,,Air
paper,food,84.0,23.0,0.57,0.83,22.53,40.0,3,Ground
paper,electronics,31.0,8.0,0.53,0.15,8.78,8.3,,
,home,54.0,,0.38,0.82,18.73,76.9,3,
metal,pharmaceuticals,42.0,17.0,0.29,0.54,19.12,16.9,1,Air
metal,home,99.0,8.0,0.22,0.22,16.44,,1,Air
plastic,,96.0,13.0,0.59,0.41,10.17,84.3,1,
bagasse,cosmetics,87.0,13.0,0.55,0.99,15.41,57.8,,Ground
jute,pharmaceuticals,93.0,22.0,0.58,0.78,1.48,89.2,2,Air
glass,cosmetics,98.0,16.0,0.36,0.58,19.17,48.5,3,Ground
metal,electronics,88.0,14.0,0.28,0.12,2.94,92.6,1,Air
glass,pharmaceuticals,89.0,15.0,0.63,0.42,10.22,35.4,2,
bagasse,home,91.0,11.0,0.64,0.26,3.04,72.5,2,Air
bagasse,cosmetics,45.0,,0.42,0.07,21.01,30.1,2,Ground
glass,home,97.0,10.0,0.53,0.54,13.98,0.1,1,Ground
metal,food,44.0,23.0,0.36,0.89,17.43,38.0,2,
glass,cosmetics,84.0,20.0,0.59,0.68,17.22,73.8,3,Ground
plastic,pharmaceuticals,64.0,19.0,0.69,0.25,21.12,15.0,1,Air
,cosmetics,84.0,11.0,0.58,0.57,3.75,50.5,,
metal,home,43.0,20.0,0.46,0.94,16.66,21.2,1,
metal,electronics,78.0,9.0,0.42,0.72,14.59,7.5,2,Ground
,cosmetics,36.0,20.0,0.55,0.69,1.26,61.7,1,Ground
paper,pharmaceuticals,59.0,5.0,0.58,0.97,5.43,95.2,1,Ground
bamboo,food,,23.0,,0.8,7.06,31.1,,Air
bagasse,electronics,45.0,9.0,0.54,0.14,2.28,58.1,3,Ground
metal,food,80.0,11.0,0.17,0.35,,95.4,3,Air
glass,cosmetics,71.0,23.0,,0.97,1.17,65.0,3,Air
bamboo,,46.0,9.0,0.65,0.49,14.05,67.3,3,Ground
jute,home,,21.0,0.36,0.11,5.68,17.9,,
bagasse,pharmaceuticals,74.0,,0.49,0.46,7.53,49.3,3,Air
paper,home,36.0,5.0,0.13,0.7,22.81,36.7,2,Air
paper,electronics,56.0,6.0,0.13,1.0,12.82,47.1,2,
jute,home,39.0,19.0,0.28,0.32,7.09,80.1,3,Ground
jute,pharmaceuticals,63.0,24.0,0.58,0.51,15.16,46.1,1,Ground
glass,cosmetics,65.0,22.0,0.7,0.88,5.44,6.3,3,Air
metal,cosmetics,54.0,15.0,0.49,,2.32,90.6,1,Ground
paper,home,35.0,14.0,0.47,0.11,1.01,54.5,,Ground
bagasse,food,53.0,8.0,0.38,0.95,23.81,,2,Air
bamboo,cosmetics,47.0,9.0,0.21,0.49,,57.2,2,Ground
bagasse,home,35.0,,,0.5,20.1,7.0,1,Air
plastic,pharmaceuticals,58.0,17.0,0.63,0.62,24.53,55.3,3,Ground
plastic,,54.0,17.0,0.75,0.0,23.32,57.6,1,Air
,cosmetics,84.0,22.0,0.42,,18.55,21.4,3,Air
glass,pharmaceuticals,75.0,6.0,0.56,0.36,17.5,47.1,3,Air
plastic,home,53.0,20.0,0.74,0.4,8.75,45.9,1,Air
paper,electronics,55.0,5.0,0.16,,3.05,62.3,,Ground
bagasse,pharmaceuticals,57.0,23.0,0.64,0.38,14.56,26.0,1,Air
bagasse,electronics,32.0,,0.53,0.8,14.62,58.2,3,Air
jute,,67.0,7.0,0.52,0.8,23.83,,2,
,,90.0,11.0,0.3,0.94,11.34,44.6,1,Ground
metal,electronics,80.0,14.0,0.58,,17.42,12.3,1,Air
bamboo,cosmetics,77.0,5.0,0.66,0.71,14.59,3.7,3,
jute,cosmetics,50.0,14.0,0.18,,4.83,32.1,,Air
bamboo,food,83.0,13.0,0.47,0.8,15.01,27.5,1,Ground
metal,pharmaceuticals,85.0,19.0,0.17,0.71,13.73,40.7,1,Air
jute,pharmaceuticals,88.0,19.0,0.71,0.37,12.6,96.2,,Ground
jute,pharmaceuticals,80.0,7.0,0.46,0.34,13.08,,1,Ground
jute,food,49.0,9.0,0.67,0.25,4.52,55.3,2,Air
metal,pharmaceuticals,88.0,13.0,0.36,0.58,11.86,94.2,2,Ground
bamboo,cosmetics,38.0,13.0,0.19,0.96,15.34,92.1,1,Ground
bamboo,electronics,30.0,11.0,0.13,0.2,12.49,88.4,3,Ground
jute,cosmetics,58.0,16.0,0.3,0.1,12.47,9.8,,Ground
plastic,cosmetics,92.0,13.0,0.27,0.12,2.4,63.4,2,Ground
glass,electronics,85.0,10.0,0.49,0.78,5.17,,3,Ground
metal,cosmetics,97.0,6.0,0.12,0.35,8.36,83.6,3,Ground
glass,food,64.0,13.0,0.46,0.22,10.77,,2,Ground
glass,electronics,32.0,21.0,0.37,0.35,15.05,,1,Air
bamboo,cosmetics,36.0,5.0,0.5,,21.65,97.4,3,Ground
bamboo,home,56.0,23.0,0.59,0.55,4.4,,2,Ground
plastic,,30.0,10.0,0.54,0.74,0.87,39.4,,
glass,food,73.0,9.0,0.79,0.34,11.51,39.5,,Ground
glass,pharmaceuticals,70.0,6.0,0.2,0.45,11.09,,3,Air
jute,cosmetics,71.0,,0.4,0.1,14.02,24.2,,Ground
bamboo,pharmaceuticals,62.0,18.0,0.4,0.07,20.91,32.7,1,Ground
glass,home,79.0,8.0,,0.46,20.16,98.5,3,Ground
bagasse,cosmetics,,8.0,0.56,0.3,2.95,36.8,3,Ground
plastic,electronics,66.0,19.0,0.44,0.61,23.38,52.7,,Ground
bagasse,pharmaceuticals,88.0,12.0,0.46,0.04,3.21,84.8,,Air
bagasse,home,77.0,8.0,0.4,0.12,16.05,52.7,,Ground
metal,electronics,34.0,20.0,0.79,0.87,16.97,32.4,,Ground
metal,electronics,77.0,,0.75,0.57,17.16,52.4,1,Air
plastic,electronics,32.0,20.0,,0.71,7.0,11.4,3,
bagasse,,76.0,16.0,0.18,0.84,8.59,13.0,1,Ground
glass,cosmetics,91.0,20.0,,0.46,13.94,69.4,3,Ground
bamboo,cosmetics,43.0,23.0,,0.76,5.39,91.7,,
plastic,,92.0,12.0,0.3,0.52,1.0,72.6,,
jute,home,90.0,10.0,0.35,0.22,14.27,7.5,2,Air
bagasse,home,60.0,14.0,0.76,0.34,11.9,40.3,3,
plastic,home,46.0,9.0,0.6,0.49,16.59,0.3,,Air
paper,food,53.0,22.0,0.31,0.32,4.09,51.1,1,Ground
paper,home,52.0,14.0,0.51,0.34,21.1,19.3,1,Air
metal,cosmetics,79.0,14.0,0.76,0.34,4.08,86.8,1,Air
bamboo,cosmetics,99.0,11.0,0.67,0.12,22.34,10.4,3,
glass,food,56.0,22.0,0.62,0.08,11.51,0.1,2,Air
bamboo,food,44.0,5.0,0.62,,13.97,,1,Ground
,home,79.0,11.0,0.22,0.11,22.47,15.5,,
bamboo,pharmaceuticals,65.0,,0.68,,7.85,73.8,3,Air
bamboo,food,37.0,19.0,0.29,0.59,4.95,92.0,2,Air
jute,electronics,32.0,8.0,0.75,,11.42,4.2,,Ground
jute,cosmetics,91.0,24.0,0.36,0.89,6.49,39.6,3,Air
metal,electronics,76.0,14.0,0.7,0.81,13.43,99.7,2,Air
plastic,cosmetics,90.0,,0.29,0.52,7.24,73.3,3,Ground
paper,cosmetics,61.0,6.0,0.46,,21.68,95.3,3,Air
bamboo,food,42.0,18.0,0.17,0.37,15.38,16.4,1,Air
metal,food,30.0,20.0,0.56,0.04,0.51,22.1,,
plastic,electronics,63.0,5.0,0.69,0.9,20.23,15.5,2,Air
paper,cosmetics,91.0,6.0,0.6,0.13,8.59,30.2,2,Air
bagasse,electronics,60.0,11.0,0.47,0.95,8.35,72.4,,Ground
glass,pharmaceuticals,93.0,14.0,0.13,0.57,9.89,16.5,2,Ground
jute,electronics,54.0,24.0,0.75,0.31,15.94,52.4,3,Ground
bagasse,home,67.0,5.0,0.59,0.5,,26.9,3,
paper,electronics,43.0,17.0,0.62,0.5,15.9,82.9,1,Air
bagasse,home,37.0,5.0,0.66,0.02,4.1,0.7,,
glass,home,83.0,9.0,0.62,0.36,24.27,22.3,2,
metal,home,31.0,,0.41,,18.38,60.5,2,Ground
,pharmaceuticals,85.0,19.0,0.61,0.51,6.63,9.7,,Ground
bagasse,electronics,90.0,21.0,,0.24,18.24,46.6,2,Ground
jute,electronics,51.0,20.0,0.7,0.34,14.59,43.6,3,Air
jute,pharmaceuticals,64.0,17.0,0.66,0.86,3.18,85.3,3,Ground
plastic,cosmetics,,,0.13,0.53,4.87,62.5,1,Air
,food,79.0,21.0,0.37,,1.51,64.0,1,Ground
bamboo,electronics,72.0,21.0,0.12,0.96,20.33,95.2,1,
bagasse,food,46.0,6.0,0.17,0.32,14.02,98.2,,Air
metal,pharmaceuticals,87.0,17.0,0.52,0.48,8.26,65.3,1,Ground
paper,cosmetics,31.0,,0.71,0.81,3.6,52.2,2,Ground
paper,,33.0,15.0,0.18,0.76,12.36,60.8,1,Ground
metal,cosmetics,68.0,14.0,,0.27,13.37,38.2,2,Air
bagasse,pharmaceuticals,35.0,7.0,0.74,0.15,17.7,98.7,3,Ground
,home,98.0,21.0,0.67,0.7,24.26,70.5,,Ground
glass,home,98.0,19.0,0.46,0.26,11.16,29.1,2,Air
metal,food,49.0,13.0,0.64,,10.45,5.8,2,Ground
,home,93.0,14.0,0.47,0.13,9.56,4.5,3,Ground
metal,home,45.0,12.0,0.21,0.32,20.76,,2,
paper,cosmetics,80.0,17.0,0.19,0.05,4.33,23.3,,Air
jute,cosmetics,66.0,,0.23,0.7,8.92,41.5,,Air
,food,98.0,,0.35,0.89,,21.5,2,Ground
plastic,electronics,71.0,10.0,0.75,,0.88,63.1,,
bamboo,food,86.0,21.0,0.66,0.94,7.59,21.1,2,Ground
paper,food,95.0,15.0,0.4,0.13,16.22,18.8,1,Air
jute,pharmaceuticals,38.0,24.0,0.45,0.09,5.06,47.1,1,Air
plastic,pharmaceuticals,93.0,20.0,0.29,0.84,7.92,88.9,,Ground
paper,food,,13.0,0.59,0.86,12.41,46.8,3,Ground
glass,food,63.0,6.0,0.66,0.83,10.84,41.4,2,Air
metal,food,84.0,9.0,0.27,0.8,3.1,57.8,3,Ground
bamboo,home,58.0,5.0,0.13,0.36,23.49,25.7,2,
,pharmaceuticals,67.0,8.0,0.54,0.22,1.59,35.3,2,Air
plastic,food,,8.0,0.49,0.93,,21.4,3,Air
glass,cosmetics,94.0,7.0,0.38,0.31,2.25,57.2,3,Ground
bagasse,cosmetics,30.0,,,0.4,,69.7,2,
plastic,home,33.0,16.0,0.49,0.7,4.8,67.4,1,Air
metal,home,33.0,14.0,0.28,0.29,3.96,25.5,1,Ground
plastic,electronics,56.0,6.0,0.38,0.82,3.58,78.0,3,Air
glass,electronics,,15.0,,0.07,11.59,25.6,3,Ground
plastic,,88.0,14.0,0.72,0.79,13.13,15.0,3,Ground
glass,home,61.0,10.0,0.77,0.6,3.77,35.0,,Air
paper,home,62.0,22.0,,0.57,24.5,59.8,3,Air
glass,home,,6.0,0.6,0.46,6.82,14.2,,Ground
glass,cosmetics,84.0,6.0,0.51,0.28,11.74,64.8,1,Ground
bamboo,home,89.0,14.0,0.58,0.46,5.8,86.3,,Air
glass,cosmetics,99.0,20.0,0.76,,12.6,29.3,2,Ground
glass,electronics,91.0,,0.27,0.58,19.02,45.0,1,Ground
bagasse,electronics,63.0,,0.47,0.28,13.27,22.8,3,
paper,electronics,85.0,12.0,0.58,0.08,7.5,36.1,,Air
metal,,42.0,20.0,0.58,0.15,6.59,2.2,2,Ground
bamboo,food,85.0,22.0,0.28,0.7,19.09,95.4,,Ground
bagasse,pharmaceuticals,47.0,17.0,0.51,0.02,3.4,41.6,,Ground
jute,pharmaceuticals,83.0,19.0,0.66,0.86,9.56,78.9,2,
paper,pharmaceuticals,72.0,16.0,0.43,0.69,4.21,14.3,,
paper,,,12.0,0.66,0.77,6.82,,1,Ground
jute,food,90.0,14.0,0.35,,4.24,86.0,2,Air
metal,pharmaceuticals,71.0,18.0,0.76,0.12,22.23,71.5,2,Air
glass,pharmaceuticals,47.0,9.0,0.47,0.82,18.43,90.3,,Ground
bagasse,home,52.0,22.0,0.52,,14.24,16.7,3,
plastic,,83.0,23.0,0.12,0.89,6.0,47.6,2,
bamboo,home,59.0,19.0,0.22,0.89,13.0,62.0,1,
plastic,cosmetics,87.0,10.0,0.54,0.02,13.26,59.6,,Air
jute,food,97.0,15.0,0.39,0.38,14.96,86.1,2,Air
paper,pharmaceuticals,96.0,15.0,0.46,0.53,1.97,,,Air
metal,food,47.0,24.0,0.14,0.68,24.34,17.6,2,Ground
paper,,36.0,24.0,0.68,0.29,11.9,25.3,3,Ground
bamboo,food,69.0,22.0,0.65,0.25,23.2,89.2,3,Air
paper,cosmetics,99.0,22.0,0.23,0.38,,,2,Ground
paper,electronics,94.0,14.0,0.54,,6.57,57.0,3,Ground
bamboo,pharmaceuticals,97.0,6.0,0.67,0.95,3.05,50.1,2,Ground
,,78.0,13.0,0.55,0.76,19.36,60.5,3,Air
bagasse,electronics,81.0,18.0,0.32,0.43,8.34,61.6,3,Ground
,electronics,,23.0,0.56,0.05,21.09,17.0,1,Ground
,food,50.0,14.0,0.25,0.17,20.89,68.6,3,Air
jute,home,38.0,8.0,0.32,0.46,16.86,45.2,1,Air
paper,food,76.0,10.0,,0.81,16.81,51.7,1,Ground
,food,71.0,18.0,0.49,0.38,17.65,3.0,3,Air
paper,,80.0,8.0,0.18,0.54,17.01,76.5,1,Ground
jute,food,85.0,19.0,0.75,0.89,9.98,83.5,2,Air
bagasse,electronics,,20.0,0.33,0.91,17.23,61.9,1,Ground
metal,home,99.0,11.0,0.25,,22.49,,2,Air
glass,pharmaceuticals,49.0,,0.45,0.04,8.65,52.3,,
glass,electronics,56.0,23.0,0.29,0.31,23.65,61.8,1,
glass,home,67.0,23.0,0.47,0.7,0.83,39.5,3,
bagasse,pharmaceuticals,94.0,21.0,0.34,0.95,9.05,79.2,3,Air
bagasse,cosmetics,,10.0,0.19,0.08,3.74,46.8,,Ground
jute,electronics,,15.0,0.29,0.03,3.6,68.0,1,
paper,electronics,76.0,,0.41,0.88,20.48,62.1,,Ground
jute,cosmetics,92.0,12.0,0.12,0.75,23.0,70.2,3,Air
jute,cosmetics,86.0,,0.64,0.99,19.56,78.5,1,Ground
bagasse,electronics,84.0,11.0,0.54,,,51.3,3,
glass,cosmetics,89.0,23.0,0.52,0.42,5.8,81.3,3,Air
plastic,food,91.0,14.0,0.48,0.17,3.95,49.7,2,Air
paper,pharmaceuticals,59.0,,0.51,0.12,13.26,95.7,3,
bagasse,pharmaceuticals,51.0,8.0,0.75,0.58,20.81,75.3,2,Air
glass,pharmaceuticals,58.0,19.0,,0.36,1.48,17.1,2,Ground
metal,food,70.0,17.0,,0.08,24.89,83.0,2,Ground
plastic,cosmetics,71.0,6.0,0.23,0.89,,55.2,3,Air
plastic,home,94.0,6.0,0.22,0.2,24.48,98.4,2,Ground
bagasse,cosmetics,60.0,20.0,0.23,0.75,9.44,71.9,2,Ground
bamboo,electronics,59.0,13.0,0.57,,,8.4,3,Air
paper,pharmaceuticals,47.0,,,0.81,18.93,39.5,3,Ground
plastic,cosmetics,46.0,7.0,0.79,0.12,,51.7,3,Air
bagasse,home,67.0,13.0,0.26,0.76,6.21,83.9,1,Ground
bagasse,electronics,43.0,17.0,0.32,0.1,23.28,72.9,3,Air
,food,85.0,6.0,0.79,0.45,21.75,36.9,2,Ground
metal,food,51.0,12.0,0.68,0.73,0.95,65.3,2,Air
bamboo,home,96.0,13.0,0.43,0.17,3.65,57.7,2,
paper,electronics,85.0,20.0,0.49,0.29,,12.6,3,Ground
jute,pharmaceuticals,48.0,6.0,0.69,,11.79,23.5,3,Air
metal,cosmetics,86.0,10.0,0.44,0.89,17.86,34.1,3,Air
,electronics,73.0,12.0,0.24,0.04,2.7,19.5,2,Air
glass,food,64.0,9.0,0.68,0.17,16.3,15.0,2,Ground
plastic,home,30.0,13.0,0.48,0.12,15.6,5.8,1,Air
plastic,home,81.0,5.0,,0.18,6.22,87.3,,Ground
glass,cosmetics,99.0,13.0,,0.97,13.79,,2,Air
bagasse,home,66.0,14.0,0.39,0.55,5.94,,2,Air
,home,94.0,8.0,0.71,0.47,,20.6,3,Air
bamboo,electronics,80.0,7.0,0.19,0.98,14.54,47.5,1,Air
paper,pharmaceuticals,30.0,14.0,0.71,0.56,24.45,51.4,3,Ground
,cosmetics,50.0,19.0,0.46,,6.3,20.8,3,Air
metal,electronics,82.0,15.0,0.38,0.33,9.21,60.9,3,Ground
bamboo,pharmaceuticals,45.0,18.0,0.21,0.38,6.79,72.3,1,
plastic,electronics,90.0,,0.59,0.59,7.03,37.4,2,Air
metal,electronics,83.0,16.0,,0.07,10.4,58.5,1,Ground
jute,,69.0,17.0,,0.26,17.7,50.2,2,Ground
paper,pharmaceuticals,55.0,,0.27,0.2,1.45,19.6,3,Ground
paper,cosmetics,94.0,20.0,0.49,0.02,23.95,73.0,1,Air
metal,cosmetics,93.0,7.0,,0.54,1.63,80.1,3,Air
glass,pharmaceuticals,72.0,6.0,0.1,0.56,22.09,64.9,2,Air
metal,home,46.0,15.0,0.54,0.38,22.41,32.4,3,Ground
glass,food,88.0,13.0,0.52,0.27,13.35,92.7,2,
metal,electronics,52.0,7.0,0.32,0.65,3.86,45.5,,Ground
jute,home,36.0,22.0,0.42,0.13,14.35,26.6,,Air
bagasse,pharmaceuticals,73.0,,0.27,0.52,15.9,40.8,3,Ground
paper,electronics,82.0,19.0,0.65,0.77,21.52,69.2,2,
metal,cosmetics,63.0,18.0,0.54,0.16,14.0,84.6,2,
jute,food,75.0,6.0,0.47,0.75,10.56,35.7,1,Ground
glass,cosmetics,97.0,21.0,0.37,,21.04,23.3,2,Ground
glass,pharmaceuticals,45.0,12.0,0.3,0.06,24.53,62.6,3,Ground
paper,electronics,48.0,,0.68,0.02,16.31,92.1,3,
bamboo,pharmaceuticals,31.0,22.0,0.42,0.97,21.92,18.3,1,
,electronics,39.0,23.0,0.45,0.19,15.17,80.3,2,Air
plastic,home,79.0,12.0,0.46,0.82,17.4,47.7,1,Ground
glass,food,41.0,12.0,0.41,,17.36,80.0,,Air
bagasse,home,,7.0,0.28,0.26,17.77,50.6,2,Air
bagasse,home,,7.0,0.18,0.13,8.36,37.7,3,
glass,pharmaceuticals,61.0,16.0,0.17,0.5,14.6,69.7,3,Ground
bamboo,food,30.0,21.0,0.63,0.41,15.06,90.1,3,Air
bamboo,electronics,83.0,8.0,0.26,0.7,8.22,32.0,,Ground
,electronics,87.0,21.0,0.14,0.9,9.07,46.1,1,Air
,cosmetics,99.0,18.0,0.66,0.81,19.18,22.9,,
jute,,47.0,23.0,0.21,0.27,,18.3,3,Ground
bagasse,pharmaceuticals,35.0,13.0,0.54,0.88,,77.8,2,
metal,home,,16.0,0.34,0.83,,,3,Ground
metal,home,52.0,9.0,0.19,0.93,22.14,79.3,3,Ground
plastic,,52.0,15.0,0.39,0.46,11.92,42.9,3,Air
metal,,55.0,24.0,0.11,0.77,5.62,99.5,1,Air
plastic,electronics,36.0,7.0,0.69,0.59,23.72,19.7,3,Air
,pharmaceuticals,73.0,19.0,0.46,0.31,22.12,9.3,1,
,food,56.0,18.0,0.2,0.99,6.49,7.5,3,Ground
